18960300,,,,,,,
:Schulbuch,Textbook,,https://d-nb.info/gnd/4053458-3,,fabio:Textbook,fabio:PrintObject,fabio:AnalogItem
!010881441!Predigtsammlung,Sermon Collection,,https://d-nb.info/gnd/4123978-7,fabio:WorkCollection,,fabio:PrintObject,fabio:AnalogItem
[Zeitungsartikel],Newspaper Article,,https://d-nb.info/gnd/4125430-2,,fabio:NewspaperArticle,fabio:PrintObject,fabio:AnalogItem
16 S,,,,,,,
319 S.,,,,,,,
56 ungezählte Seiten,,,,,,,
Abschlussarbeit (Master),Master's Thesis,,https://d-nb.info/gnd/1105859770,,fabio:MastersThesis,fabio:PrintObject,fabio:AnalogItem
Abschlussbericht,Final Report,,,,fabio:ReportDocument,fabio:PrintObject,fabio:AnalogItem
Abschnitt,Section,,,,,,doco:Section+fabio:AnalogItem
Abwaschung,Washdown,,,,,,
Adressbuch,Address Book,,https://d-nb.info/gnd/4141451-2,,fabio:ReferenceBook,fabio:PrintObject,fabio:AnalogItem
Agende,Book of Liturgies,Y,https://d-nb.info/gnd/4000724-8,,fabio:ReferenceBook,fabio:PrintObject,fabio:AnalogItem
Akademieschrift,Academic Publication,,https://d-nb.info/gnd/4141683-1,fabio:ScholarlyWork,,fabio:PrintObject,fabio:AnalogItem
Akten,Records,,https://d-nb.info/gnd/4000925-7,fabio:ArchivalDocument,,fabio:AnalogManifestation,fabio:AnalogItem
Akten Kriegsbriefe,"Archival Documents (War Letters)",,https://d-nb.info/gnd/4000925-7+https://d-nb.info/gnd/4033114-3,fabio:ArchivalRecord,fabio:Letter,fabio:AnalogManifestation,fabio:AnalogItem
Akustik,Acoustics,Y,https://d-nb.info/gnd/4000988-9,,,,
Alben,Albums,Y,https://d-nb.info/gnd/4543648-4,fabio:StillImage + fabio:WorkCollection,,fabio:PrintObject,fabio:AnalogItem
Alchemie,Alchemy,Y,https://d-nb.info/gnd/4127921-9,,,,
Almanach,Almanac,,https://d-nb.info/gnd/4141983-2,,fabio:ReferenceBook,fabio:PrintObject,fabio:AnalogItem
Altertumskunde,Archeology,,https://d-nb.info/gnd/4134281-1,,,,
Amtsdruckschrift,Government Publication,,https://d-nb.info/gnd/4142300-8+,,fabio:ArchivalDocument,fabio:AnalogManifestation,fabio:AnalogItem
Amtsdruckschrift / Gesetzessammlung / Verordnung / Vertrag / Gesetz / Edikt,Office press release / Collection of rules / Ordinance / Contract / Law / Edict,,https://d-nb.info/gnd/4142300-8+https://d-nb.info/gnd/4013556-1+https://d-nb.info/gnd/4063270-2+https://d-nb.info/gnd/4134694-4+https://d-nb.info/gnd/4020660-9,,fabio:ArchivalDocument+fabio:ReferenceBook,fabio:AnalogManifestation,fabio:AnalogItem
Anatomie,Anatomy,Y,https://d-nb.info/gnd/4001895-7,,,,
Andenkenblatt,Death Notice,,https://d-nb.info/gnd/4185595-4,fabio:Obituary,,fabio:PrintObject,fabio:AnalogItem
Anekdote,Anecdote,Y,https://d-nb.info/gnd/4142399-9,fabio:ShortStory,,fabio:PrintObject,fabio:AnalogItem
Anleitung,Instructions,,https://d-nb.info/gnd/4142527-3,fabio:InstructionManual,,fabio:PrintObject,fabio:AnalogItem
Anschlag,Poster,,https://d-nb.info/gnd/4046198-1,,,,
Ansicht,View,Y,https://d-nb.info/gnd/4001393-5,,,,
Anstandsliteratur,Conduct Books,,https://d-nb.info/gnd/4122801-7,fabio:InstructionalWork,,,
Anthologie,Anthology,,https://d-nb.info/gnd/4002214-6,,fabio:Anthology,fabio:PrintObject,fabio:AnalogItem
Antiquariatskatalog,Rare Book Catalog,,https://d-nb.info/gnd/4142738-5,fabio:Catalog,,,
"Antrag, Vorstudie",Application / Proposal,,https://d-nb.info/gnd/4122813-3,,fabio:SpecificationDocument,fabio:PrintObject,fabio:AnalogItem
ANzeige,Advertisement,,https://d-nb.info/gnd/4002377-1,,,fabio:PrintObject,fabio:AnalogItem
Anzeige,Advertisement,,https://d-nb.info/gnd/4002377-1,,,fabio:PrintObject,fabio:AnalogItem
Anzeige / Bücheranzeige / Subskriptionsanzeige,Advertisement,,https://d-nb.info/gnd/4002377-1 + https://d-nb.info/gnd/4153415-3,,,fabio:PrintObject,fabio:AnalogItem
Aphorismus,Aphorisms,Y,https://d-nb.info/gnd/4002417-9,,,,
Arbeitspapier,Working Paper,,,fabio:WorkingPaper,,fabio:PrintObject,fabio:AnalogItem
Archäologie,Archeology,Y,https://d-nb.info/gnd/4002827-6,,,,
Architektur,Architecture,Y,https://d-nb.info/gnd/4002851-3,,,,
"Architektur, Lanschaftsarchitektur",Landscape Architecture,Y,http://d-nb.info/gnd/7700528-4,,,,
"Architektur, Stadtplanung",City Planning,Y,https://d-nb.info/gnd/4002851-3+https://d-nb.info/gnd/4056754-0,,,,
Ars,The Art of Dying,Y,https://d-nb.info/gnd/4143072-4,fabio:InstructionalBook,,fabio:PrintObject,fabio:AnalogItem
Ars moriendi,The Art of Dying,Y,https://d-nb.info/gnd/4143072-4,fabio:InstructionalBook,,fabio:PrintObject,fabio:AnalogItem
article,Article,,,fabio:Article,,fabio:PrintObject,fabio:AnalogItem
Artikel,Article,,,fabio:Article,,fabio:PrintObject,fabio:AnalogItem
Arzneibuch,Pharmacopoiea,,https://d-nb.info/gnd/4003114-7,fabio:InstructionManual,,fabio:PrintObject,fabio:AnalogItem
Astrologie,1,Y,https://d-nb.info/gnd/4003305-3,,,,
Astronomie,1,Y,https://d-nb.info/gnd/4003311-9,,,,
Atlas,Atlas,,https://d-nb.info/gnd/4143303-8,fabio:ReferenceBook,,fabio:PrintObject,fabio:AnalogItem
Audiovisuelles Material,Audio Visual Material,,https://d-nb.info/gnd/4522856-5,,fabio:AudioDocument +fabio:Movie,fabio:AnalogManifestation,fabio:AnalogItem
Aufgabensammlung,Problem Set,,https://d-nb.info/gnd/4143389-0,,fabio:TextBook,fabio:PrintObject,fabio:AnalogItem
Aufriss,Front View (Architecture),Y,https://d-nb.info/gnd/4704588-7,,,,
Aufsatz,Essay,,https://d-nb.info/gnd/4129008-2,fabio:Essay,,fabio:PrintObject,fabio:AnalogItem
Aufsatzsammlung,Auction Catalogue,,https://d-nb.info/gnd/4143413-4,fabio:Essay +fabio:WorkCollection,,fabio:PrintObject,fabio:AnalogItem
Auktionskatalog,Auction Catalogue,,https://d-nb.info/gnd/4143482-1,,fabio:ReferenceBook,fabio:PrintObject,fabio:AnalogItem
Außenreklame,Outdoor Advertising,Y+NF,https://d-nb.info/gnd/4065541-6,,,,
Außenwerbung,Outdoor Advertising,Y+NF,https://d-nb.info/gnd/4140128-1,,,,
Ausstellung,Exhibition,Y+NF,https://d-nb.info/gnd/4129601-1,,,,
Ausstellungskatalog,Exhibition Catalog,,https://d-nb.info/gnd/4135467-9,,fabio:ReferenceBook,fabio:PrintObject,fabio:AnalogItem
Autobiographie,Autobiography,,https://d-nb.info/gnd/7718823-8,fabio:Biography,,,
Autobiographie 1871-1873,Autobiography,Y,https://d-nb.info/gnd/7718823-8,fabio:Biography,,,
Ballade,Ballad,Y,https://d-nb.info/gnd/4004343-5,fabio:Poem,,fabio:PrintObject,fabio:AnalogItem
Band,Volume,,,fabio:WorkCollection,fabio:ExpressionCollection,fabio:PrintObject,fabio:AnalogItem
Bauschmuck,Architectural Decor,Y,https://d-nb.info/gnd/4043886-7,,,,
"Bauschmuck, Grabmal","Architectural Decor, Tomb",Y,https://d-nb.info/gnd/4043886-7 + https://d-nb.info/gnd/4021732-2,,,,
Bausschmuck,Architectural Decor,Y,https://d-nb.info/gnd/4043886-7,,,,
Beichtspiegel,Confession Guide,Y,https://d-nb.info/gnd/4144358-5,fabio:InstructionalWork,,,
Beigefügtes oder enthaltenes Werk,Supplement,,,,,fabio:PrintObject,fabio:AnalogItem
Beilage,Inset,,https://d-nb.info/gnd/4203535-1,fabio:Addendum,,fabio:PrintObject,fabio:AnalogItem
Beispielsammlung,Collection of Examples,Y,https://d-nb.info/gnd/4144384-6,fabio:WorkCollection,,,
Beitrag zu einem Periodikum,Periodical Contribution,,,fabio:PeriodicalItem,,fabio:PrintObject,fabio:AnalogItem
Bekleidung,Apparel,Y,https://d-nb.info/gnd/4031011-5,,,,
Belletristische Darstellung,Belletristic Description,,https://d-nb.info/gnd/4144445-0,fabio:LiteraryWork,,fabio:PrintObject,fabio:AnalogItem
Bergbau,Mining,Y,https://d-nb.info/gnd/4005614-4,,,,
Bergbaukarte,Mining Map,,https://d-nb.info/gnd/4005614-4,fabio:StillImage,,fabio:PrintObject,fabio:AnalogItem
Bericht,Report,,https://d-nb.info/gnd/4128022-2,fabio:Report,,fabio:PrintObject,fabio:AnalogItem
"Bericht über Institution, Organisation o.Ä.",Institutional / Organizational Report,,,fabio:Report,,fabio:PrintObject,fabio:AnalogItem
Besitzeintrag,Ownership Registration,Y,https://d-nb.info/gnd/4404569-4,fabio:ArchivalRecord,,fabio:AnalogManifestation,fabio:AnalogItem
